id,host_response_rate,host_acceptance_rate,host_identity_verified,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,maximum_minimum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,is_entire_unit,location_chicago,location_kauai,has_luxury_words
165255.0,100.0,97.0,1,4.0,2.0,2.0,2.0,191.0,3.0,1125.0,3.0,270.0,194.99999999999997,38.0,0.0,4.93,4.96,4.94,4.96,4.97,4.95,4.9,0,0.0,0.0,1.68,0,True,False,1
591249.0,100.0,97.0,0,6.0,1.0,2.0,3.0,154.0,1.0,1125.0,2.0,87.0,504.0,46.0,4.0,4.95,4.97,4.97,4.97,4.95,4.86,4.87,0,0.0,0.0,3.86,1,True,False,0
597392.0,100.0,95.0,1,3.0,1.0,2.0,2.0,130.0,21.0,365.0,21.0,25.0,225.0,7.0,0.0,4.51,4.55,4.35,4.89,4.87,4.67,4.39,0,0.0,0.0,1.46,1,True,False,1
376449.0,0.0,100.0,1,2.0,1.0,1.0,1.0,113.0,4.0,300.0,4.0,102.0,24.0,0.0,0.0,4.5,4.48,4.35,4.74,4.96,4.52,4.43,0,1.0,0.0,0.17999999999999997,0,True,False,1
385007.0,99.0,98.0,1,16.0,2.5,5.999999999999999,10.0,867.9999999999999,1.0,90.0,2.0,340.0,89.0,7.0,0.0,4.9,4.89,4.78,4.94,4.92,4.85,4.7,0,0.0,0.0,0.69,1,True,False,1
658261.0,100.0,99.0,1,4.0,1.0,1.0,3.0,98.0,1.0,1125.0,2.0,225.0,419.0,44.0,2.0,4.93,4.96,4.95,4.99,4.98,4.83,4.93,0,0.0,0.0,3.2,1,True,False,1
620790.0,100.0,89.0,1,8.0,3.0,2.9999999999999996,4.0,228.0,4.0,720.0,4.0,300.0,323.0,67.0,6.0,4.96,4.96,4.96,4.97,4.97,4.91,4.85,0,0.0,0.0,2.49,1,True,False,1
618158.0,88.0,94.0,1,5.0,1.0,2.0,3.0,356.0,2.0,30.0,2.0,260.0,136.0,20.0,0.0,4.89,4.96,4.79,4.93,4.95,4.97,4.81,0,0.0,0.0,1.32,1,True,False,0
479603.99999999994,100.0,83.0,1,4.0,1.0,1.0,2.0,67.00000000000001,32.0,360.0,32.0,92.0,649.0,4.0,0.0,4.81,4.87,4.8,4.91,4.91,4.81,4.82,0,0.0,0.0,4.25,1,True,False,0
248778.99999999997,100.0,100.0,1,4.0,1.0,1.0,1.0,112.0,2.0,45.0,3.0,118.0,432.0,32.0,1.0,4.92,4.94,4.94,4.98,4.96,4.94,4.89,0,0.0,0.0,2.8,0,True,False,0
750767.0,100.0,100.0,1,4.0,2.0,2.0,2.0,175.0,32.0,1125.0,32.0,328.0,190.0,0.0,0.0,4.8,4.83,4.69,4.91,4.96,4.88,4.76,0,0.0,0.0,1.58,1,True,False,0
633222.0,100.0,87.0,0,3.0,1.0,2.0,2.0,77.00000000000001,1.0,60.0,2.0,149.0,110.0,1.0,1.0,4.79,4.85,4.8,4.99,4.94,4.82,4.82,0,1.0,0.0,1.23,1,True,False,1
152910.0,50.0,0.0,1,1.0,1.0,1.0,1.0,86.0,32.0,1125.0,32.0,362.0,177.0,0.0,0.0,4.88,4.92,4.96,4.94,4.95,4.93,4.89,0,1.0,0.0,1.3699999999999999,0,True,False,0
894307.0,100.0,50.0,1,1.0,1.0,1.0,1.0,35.0,32.0,1125.0,32.0,69.0,7.0,1.0,0.0,4.14,4.43,4.14,4.57,4.57,4.29,4.14,0,2.0,0.0,0.05,0,True,False,1
962858.9999999999,100.0,88.0,1,2.0,1.0,1.0,1.0,65.0,1.0,1125.0,2.0,26.0,487.00000000000006,57.0,6.0,4.96,4.97,4.96,4.99,4.98,4.92,4.9,0,1.0,0.0,3.7799999999999994,0,True,False,0
340223.0,100.0,100.0,1,2.0,1.0,1.0,2.0,71.0,32.0,1125.0,32.0,271.0,160.0,2.0,0.0,4.75,4.87,4.82,4.9,4.94,4.62,4.74,0,0.0,0.0,1.24,1,True,False,1
529480.0,100.0,95.0,1,4.0,2.5,2.0,2.0,238.0,4.0,30.0,4.0,0.0,101.00000000000001,10.0,0.0,4.98,4.98,4.99,4.97,4.98,4.94,4.84,0,0.0,0.0,1.23,1,True,False,0
540222.0,100.0,76.0,1,2.0,1.0,1.0,1.0,82.0,2.0,14.0,2.0,2.0,119.0,16.0,0.0,4.93,4.96,4.92,4.9,4.94,4.81,4.91,0,2.0,0.0,0.81,0,True,False,0
340461.0,100.0,80.0,1,4.0,1.0,2.0,2.0,105.0,32.0,1125.0,32.0,195.0,160.0,1.0,0.0,4.87,4.92,4.9,4.98,4.99,4.9,4.9,0,0.0,0.0,1.12,1,True,False,1
194087.0,93.0,82.0,1,2.0,1.0,1.0,1.0,122.0,2.0,65.0,4.0,19.0,874.0,71.0,3.0,4.7,4.72,4.64,4.87,4.9,4.88,4.68,0,0.0,0.0,5.8,1,True,False,1
960758.0000000001,100.0,94.0,1,1.0,1.0,1.0,1.0,46.0,20.0,730.0,20.0,148.0,48.0,2.0,0.0,4.85,4.88,4.96,4.94,4.89,4.85,4.91,0,3.0,0.0,0.37,0,True,False,1
343828.0,100.0,100.0,1,2.0,1.0,1.0,1.0,91.00000000000001,14.0,730.0,14.0,227.0,48.0,2.0,0.0,4.73,4.81,4.79,4.94,4.92,4.56,4.67,0,0.0,0.0,0.38,1,True,False,0
356757.0,100.0,75.0,0,2.0,1.0,1.0,2.0,59.00000000000001,32.0,1125.0,32.0,220.99999999999997,6.0,1.0,0.0,4.5,4.17,4.33,4.67,4.5,5.0,4.0,0,0.0,0.0,0.08,0,True,False,1
681849.0,100.0,100.0,1,6.0,1.0,2.0,3.0,114.0,28.0,180.0,28.0,180.0,365.0,2.0,1.0,4.87,4.94,4.83,4.96,4.98,4.75,4.88,1,0.0,0.0,2.86,1,True,False,0
483666.0,100.0,100.0,1,5.0,1.0,2.9999999999999996,6.0,68.00000000000001,32.0,1125.0,32.0,192.00000000000003,31.0,4.0,0.0,4.79,4.83,4.84,4.9,4.93,4.67,4.74,0,0.0,0.0,0.21999999999999997,1,True,False,1
585233.0,100.0,100.0,1,2.0,2.5,2.9999999999999996,1.0,91.00000000000001,2.0,1125.0,2.0,0.0,160.0,8.0,0.0,4.93,4.94,4.94,4.96,4.96,4.96,4.9,0,1.0,0.0,1.13,0,True,False,1
384512.0,99.33333333333333,66.0,1,2.0,1.5,1.0,1.0,172.0,32.0,1125.0,32.0,362.0,22.000000000000004,0.0,0.0,4.91,4.82,4.86,5.0,4.95,4.32,4.77,0,1.0,0.0,0.15,0,True,False,1
109102.0,90.0,50.0,1,3.0,1.0,1.0,1.0,257.0,32.0,1125.0,32.0,364.0,103.0,0.0,0.0,4.98,4.98,4.99,5.0,5.0,4.96,4.84,0,0.0,0.0,0.8,1,True,False,0
528049.0,100.0,100.0,1,2.0,1.0,1.0,1.0,37.0,1.0,1125.0,2.0,302.0,528.0,25.0,0.0,4.83,4.92,4.86,4.88,4.9,4.76,4.88,1,2.0,0.0,4.09,0,True,False,1
543059.0,100.0,100.0,1,1.0,1.0,1.0,1.0,130.0,5.0,120.0,5.0,1.0,8.0,0.0,0.0,4.88,4.71,5.0,5.0,5.0,4.25,4.63,1,4.0,0.0,0.060000000000000005,0,True,False,1
958615.0,100.0,100.0,1,6.0,1.0,2.0,2.0,106.0,3.0,1125.0,3.0,337.0,140.0,13.0,0.0,4.81,4.84,4.83,4.93,4.91,4.47,4.75,0,0.0,0.0,1.09,0,True,False,1
782223.0,0.0,0.0,0,5.0,1.0,2.0,2.0,137.0,32.0,50.0,32.0,57.0,41.0,0.0,0.0,4.75,4.76,4.63,4.93,4.93,4.22,4.76,0,0.0,0.0,0.28,1,True,False,0
486136.99999999994,100.0,99.0,1,2.0,1.5,1.0,1.0,74.0,2.0,90.0,2.0,342.0,341.0,28.0,0.0,4.98,4.98,4.98,4.99,4.98,4.94,4.96,1,3.0,0.0,2.35,0,True,False,0
115109.0,100.0,100.0,1,2.0,1.0,1.0,2.0,95.0,32.0,365.0,32.0,1.0,42.0,4.0,0.0,4.67,4.79,4.43,4.71,4.69,4.93,4.46,0,0.0,0.0,0.29,1,True,False,1
157783.0,50.0,28.999999999999996,0,4.0,1.0,1.0,1.0,45.0,32.0,1125.0,32.0,68.0,11.000000000000002,0.0,0.0,4.36,4.7,4.6,5.0,4.9,4.5,4.7,0,3.0,0.0,0.1,0,True,False,0
662431.0,50.0,28.999999999999996,0,2.0,1.5,1.0,1.0,45.0,32.0,1125.0,32.0,106.00000000000001,5.0,0.0,0.0,4.0,4.8,3.8,4.4,4.2,4.6,4.6,0,3.0,0.0,0.060000000000000005,0,True,False,0
749510.0,100.0,99.0,0,2.0,1.0,1.0,1.0,103.0,3.0,365.0,3.0,243.0,33.0,33.0,0.0,4.97,4.88,5.0,5.0,5.0,4.97,4.85,0,0.0,0.0,3.4,1,True,False,0
952267.9999999999,100.0,99.0,0,4.0,1.0,2.0,2.0,162.0,3.0,1125.0,3.0,222.00000000000003,362.0,31.0,0.0,4.9,4.93,4.91,4.98,4.99,4.93,4.87,0,0.0,0.0,2.82,1,True,False,0
757836.0,100.0,66.0,1,2.0,1.0,1.0,3.0,46.0,32.0,75.0,32.0,89.0,36.0,5.0,0.0,4.64,4.63,4.5,4.78,4.94,4.86,4.58,0,2.0,0.0,0.29,0,True,False,0
355157.0,100.0,98.0,0,2.0,1.0,1.0,1.0,127.0,2.0,1125.0,2.0,124.0,521.0,37.0,0.0,4.73,4.85,4.69,4.85,4.81,4.92,4.71,1,0.0,0.0,4.11,1,True,False,1
851563.0,100.0,97.0,1,4.0,2.0,2.0,2.0,197.0,2.0,1125.0,2.0,114.99999999999999,261.0,70.0,5.0,4.98,4.99,4.99,4.98,4.98,4.9,4.92,0,0.0,0.0,2.19,1,True,False,0
862526.0,100.0,95.0,1,2.0,1.0,1.0,2.0,70.0,3.0,29.0,3.0,240.99999999999997,177.0,22.0,1.0,4.94,4.96,4.9,4.98,4.98,4.81,4.9,0,1.0,0.0,1.4,0,True,False,0
351773.0,100.0,61.0,1,2.0,1.0,1.0,2.0,135.0,32.0,1123.0,32.0,210.0,17.0,1.0,0.0,5.0,5.0,4.76,5.0,5.0,4.82,4.71,0,0.0,0.0,0.12000000000000001,1,True,False,1
907963.0,33.33333333333333,0.0,1,4.0,2.0,2.0,2.0,249.99999999999997,32.0,60.0,32.0,365.0,53.0,0.0,0.0,4.94,4.94,4.79,4.96,4.96,4.96,4.81,0,0.0,0.0,0.45,1,True,False,1
658466.0,100.0,72.0,1,1.0,1.0,2.0,1.0,60.000000000000014,3.0,14.0,3.0,334.0,98.0,27.0,0.0,4.97,4.96,4.93,4.97,4.98,4.9,4.9,0,2.0,0.0,0.77,0,True,False,0
244951.00000000003,86.0,46.0,1,2.0,1.0,1.0,2.0,76.00000000000001,1.0,30.0,2.0,45.0,19.0,0.0,0.0,4.79,4.95,4.68,4.89,4.84,5.0,4.84,0,0.0,0.0,0.17,1,True,False,1
595593.0,100.0,100.0,1,1.0,1.0,1.0,2.0,108.99999999999999,5.0,120.0,5.0,1.0,22.000000000000004,1.0,0.0,4.77,4.73,4.95,4.86,4.95,4.64,4.55,1,4.0,0.0,0.19,1,True,False,1
561079.0,100.0,97.0,1,1.0,2.0,1.0,1.0,18.0,1.0,900.0,2.0,0.0,121.0,8.0,0.0,4.74,4.79,4.58,4.8,4.84,4.52,4.8,0,4.0,9.0,0.9600000000000001,0,True,False,0
884074.0,100.0,44.0,1,6.0,1.0,2.0,2.0,122.0,7.0,1125.0,7.0,364.0,17.0,1.0,0.0,4.35,4.12,4.18,4.88,4.71,4.47,4.53,0,0.0,0.0,0.14,1,True,False,0
643751.0,100.0,99.0,1,2.0,1.0,1.0,1.0,92.00000000000001,3.0,7.0,3.0,249.99999999999997,476.0,47.0,3.0,4.97,4.97,4.97,5.0,5.0,4.95,4.94,0,1.0,0.0,3.4,0,True,False,1
620990.0,81.0,0.0,1,7.0,1.0,2.0,3.0,271.0,32.0,1125.0,32.0,178.0,96.0,0.0,0.0,4.6,4.73,4.24,4.77,4.81,4.88,4.59,0,0.0,0.0,0.77,1,True,False,1
265562.0,100.0,56.00000000000001,1,1.0,1.0,1.0,1.0,75.00000000000001,24.999999999999996,1125.0,24.999999999999996,0.0,27.0,2.0,0.0,4.89,5.0,4.81,4.96,5.0,4.78,4.85,0,1.0,0.0,0.21999999999999997,0,True,False,0
722775.0,100.0,82.0,1,4.0,1.0,2.9999999999999996,3.0,204.0,2.0,1125.0,2.0,122.0,102.0,12.0,1.0,4.98,5.0,4.96,5.0,5.0,4.95,4.92,0,0.0,0.0,0.81,1,True,False,0
245247.0,66.66666666666666,65.33333333333333,1,3.0,1.0,2.0,2.0,107.00000000000001,32.0,1125.0,32.0,89.0,131.0,0.0,0.0,4.64,4.63,4.56,4.85,4.88,4.66,4.6,0,1.0,0.0,1.06,0,True,False,1
455138.0,92.0,84.0,1,8.0,2.0,2.0,8.0,189.0,32.0,1125.0,32.0,70.0,306.99999999999994,0.0,0.0,4.61,4.63,4.5,4.92,4.92,4.83,4.68,0,0.0,0.0,2.45,1,True,False,0
288925.0,100.0,100.0,1,10.0,2.0,2.9999999999999996,8.0,374.0,3.0,35.0,4.0,305.0,51.99999999999999,6.0,0.0,4.94,4.94,5.0,4.94,4.94,4.8,4.8,1,0.0,0.0,0.37,1,True,False,1
727220.0,96.0,25.0,1,4.0,1.0,1.0,2.0,115.00000000000001,32.0,1125.0,32.0,0.0,28.0,0.0,0.0,4.86,4.89,4.64,4.93,4.93,4.78,4.59,0,0.0,0.0,0.21999999999999997,0,True,False,1
328758.0,96.0,57.99999999999999,1,2.0,1.5,1.0,1.0,93.00000000000001,32.0,38.0,32.0,1.0,69.0,0.0,0.0,4.81,4.71,4.45,5.0,5.0,4.97,4.72,0,2.0,0.0,0.57,0,True,False,0
790282.0,100.0,0.0,1,2.0,1.0,1.0,1.0,165.0,32.0,33.0,32.0,323.0,155.0,0.0,0.0,4.76,4.79,4.86,4.96,4.95,4.99,4.68,0,0.0,0.0,1.27,0,True,False,1
604774.0,100.0,94.0,1,6.0,2.0,2.9999999999999996,3.0,339.0,3.0,900.0,3.0,145.0,38.0,6.0,0.0,4.92,4.89,5.0,4.97,4.82,4.84,4.63,0,4.0,0.0,0.32,0,True,False,0
272047.0,100.0,85.0,0,3.0,1.0,1.0,2.0,68.00000000000001,4.0,30.0,4.0,2.0,395.0,41.0,2.0,4.91,4.89,4.86,4.94,4.95,4.88,4.9,0,0.0,0.0,2.97,0,True,False,0
826796.0,100.0,100.0,1,3.0,1.0,1.0,1.0,140.0,1.0,90.0,2.0,87.0,82.0,14.0,0.0,4.7,4.77,4.83,4.85,4.83,4.98,4.57,0,0.0,0.0,0.59,0,True,False,0
890339.0,100.0,100.0,1,2.0,1.0,1.0,1.0,97.0,2.0,30.0,4.0,2.0,434.0,35.0,2.0,4.91,4.95,4.93,4.93,4.92,4.77,4.8,1,0.0,0.0,3.2,1,True,False,0
365630.0,100.0,100.0,1,4.0,1.0,2.0,2.0,121.0,2.0,363.99999999999994,2.0,225.0,90.0,10.0,1.0,4.83,4.86,4.87,4.97,4.86,4.98,4.81,1,0.0,0.0,0.69,1,True,False,1
462219.99999999994,100.0,93.0,1,4.0,1.0,1.0,1.0,135.0,32.0,150.0,32.0,1.0,24.0,0.0,0.0,4.67,4.87,4.61,4.87,4.96,4.43,4.7,0,0.0,0.0,0.2,1,True,False,1
354296.0,100.0,94.0,1,6.0,2.0,2.9999999999999996,3.0,386.0,3.0,365.0,3.0,346.0,38.0,0.0,0.0,4.92,4.84,4.89,4.95,4.97,4.84,4.79,0,4.0,0.0,0.32,0,True,False,1
933606.0,100.0,98.0,1,2.0,1.5,1.0,1.0,73.0,1.0,5.0,2.0,134.0,292.0,49.0,0.0,4.88,4.86,4.84,4.92,4.92,4.87,4.81,0,3.0,0.0,2.72,0,True,False,1
851818.0,100.0,100.0,1,3.0,1.0,1.0,1.0,122.0,7.0,360.0,7.0,179.0,194.99999999999997,4.0,0.0,4.92,4.94,4.92,4.97,4.96,4.82,4.91,0,1.0,0.0,1.59,0,True,False,0
185501.0,100.0,99.0,1,9.0,2.0,4.0,5.0,593.0,1.0,365.0,3.0,151.0,51.99999999999999,18.0,0.0,4.9,4.92,4.9,4.96,4.83,5.0,4.77,1,0.0,0.0,1.09,1,True,False,0
628041.0,100.0,99.0,1,9.0,2.0,4.0,5.0,636.0,1.0,365.0,3.0,165.0,37.0,12.0,0.0,4.78,4.95,4.7,4.92,4.65,5.0,4.59,1,0.0,0.0,0.7800000000000001,1,True,False,0
612632.0,100.0,97.0,1,2.0,1.0,1.0,1.0,435.0,32.0,1125.0,32.0,365.0,155.0,0.0,0.0,4.58,4.71,4.54,4.78,4.82,4.93,4.61,0,0.0,0.0,1.14,1,True,False,1
428355.0,100.0,96.0,1,1.0,3.0,4.0,0.0,59.00000000000001,1.0,1125.0,2.0,328.0,3.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,2.0,0.0,0.21999999999999997,0,True,False,0
413897.0,100.0,86.0,1,2.0,1.0,1.0,1.0,48.0,32.0,1125.0,32.0,72.0,177.0,0.0,0.0,4.89,4.86,4.82,4.92,4.95,4.96,4.88,0,2.0,0.0,1.51,0,True,False,1
626957.0,97.66666666666667,57.99999999999999,1,2.0,1.0,1.0,1.0,106.0,32.0,35.0,32.0,89.0,55.0,0.0,0.0,4.55,4.62,4.2,4.89,4.95,4.93,4.58,0,2.0,0.0,0.45,0,True,False,1
781240.0,100.0,100.0,0,4.0,1.0,2.0,2.0,127.0,2.0,1125.0,2.0,319.0,352.00000000000006,34.0,1.0,4.87,4.86,4.82,4.96,4.96,4.84,4.87,0,0.0,0.0,2.8699999999999997,1,True,False,0
579942.0,100.0,91.0,1,1.0,1.0,1.0,1.0,58.00000000000001,32.0,32.0,32.0,58.00000000000001,5.0,2.0,0.0,5.0,5.0,4.8,5.0,5.0,5.0,5.0,0,2.0,0.0,0.24000000000000002,0,True,False,0
478379.0,100.0,98.0,1,2.0,1.0,1.0,1.0,75.00000000000001,2.0,28.0,2.0,0.0,302.0,20.0,0.0,4.66,4.78,4.5,4.91,4.75,4.82,4.7,1,2.0,0.0,2.2,0,True,False,1
447766.0,100.0,99.0,1,2.0,1.0,1.0,1.0,20.0,1.0,355.00000000000006,2.0,270.0,106.0,2.0,1.0,4.42,4.63,4.81,4.67,4.7,4.13,4.6,0,7.0,0.0,0.87,0,True,False,0
243453.0,100.0,99.0,1,2.0,1.0,1.0,1.0,36.0,1.0,356.0,2.0,289.0,60.00000000000001,1.0,1.0,4.57,4.63,4.56,4.73,4.69,4.33,4.62,0,7.0,0.0,0.5,0,True,False,0
639001.0,100.0,83.0,1,10.0,2.0,2.9999999999999996,4.0,206.0,2.0,1125.0,7.0,353.0,226.99999999999997,16.0,0.0,4.79,4.8,4.76,4.92,4.94,4.81,4.7,0,0.0,0.0,1.66,1,True,False,1
656336.0,100.0,100.0,1,5.0,1.0,1.0,3.0,81.0,2.0,365.0,3.0,305.0,613.0,40.0,0.0,4.51,4.66,4.52,4.79,4.74,4.11,4.55,1,0.0,0.0,4.51,1,True,False,1
457494.99999999994,100.0,100.0,1,4.0,1.0,2.0,2.0,162.0,2.0,200.0,2.0,137.0,106.99999999999999,9.0,0.0,4.92,4.93,4.93,4.96,4.96,4.96,4.8,0,0.0,0.0,0.82,1,True,False,0
185147.0,100.0,100.0,1,2.0,1.0,1.0,1.0,116.99999999999999,3.0,730.0,3.0,338.0,226.99999999999997,27.0,0.0,4.95,4.98,5.0,4.96,4.99,4.87,4.94,0,1.0,0.0,1.9,0,True,False,1
830274.0,100.0,95.0,1,1.0,1.0,1.0,1.0,44.0,24.999999999999996,365.0,22.0,0.0,31.0,2.0,0.0,4.9,4.81,4.74,4.94,5.0,4.48,4.87,0,3.0,0.0,0.27,0,True,False,1
654180.0,100.0,95.0,1,4.0,1.0,1.0,1.0,96.0,3.0,1125.0,3.0,90.0,18.0,0.0,0.0,4.94,4.94,4.78,4.94,5.0,4.56,4.83,0,3.0,0.0,0.17,1,True,False,1
225439.0,100.0,99.0,1,2.0,1.0,1.0,2.0,137.0,2.0,40.0,2.0,89.0,253.00000000000003,23.0,0.0,4.56,4.68,4.19,4.94,4.95,4.98,4.62,0,2.0,0.0,2.11,0,True,False,0
269438.0,100.0,50.0,1,8.0,2.5,2.9999999999999996,3.0,166.0,2.0,1125.0,2.0,363.0,37.0,4.0,0.0,4.97,5.0,4.97,5.0,5.0,4.75,4.94,0,1.0,0.0,0.31,0,True,False,1
810029.0,100.0,94.0,0,10.0,1.0,2.9999999999999996,3.0,53.99999999999999,32.0,100.0,32.0,301.0,498.99999999999994,4.0,0.0,4.85,4.91,4.91,4.94,4.95,4.26,4.83,0,0.0,0.0,4.12,1,True,False,0
637794.0,83.0,97.0,1,12.0,2.0,4.0,5.0,203.0,32.0,720.0,32.0,348.0,224.0,20.0,0.0,4.86,4.87,4.81,4.93,4.9,4.88,4.79,0,0.0,0.0,1.9,1,True,False,0
515152.0,100.0,100.0,1,2.0,1.0,1.0,1.0,102.0,2.0,20.0,2.0,277.0,346.0,35.0,1.0,4.9,4.93,4.85,4.93,4.97,4.96,4.84,1,1.0,0.0,2.8699999999999997,0,True,False,0
109770.0,100.0,75.0,0,1.0,1.0,1.0,1.0,50.00000000000001,4.0,30.0,4.0,364.0,67.0,7.0,0.0,4.76,4.88,4.6,4.94,4.94,4.57,4.82,0,1.0,0.0,0.56,0,True,False,1
933386.9999999999,100.0,93.0,1,2.0,1.0,1.0,2.0,44.0,3.0,365.0,3.0,342.0,193.0,28.0,1.0,4.62,4.64,4.76,4.78,4.92,4.64,4.61,0,0.0,0.0,1.8,0,True,False,0
385413.0,100.0,97.0,1,2.0,2.0,1.0,1.0,16.0,1.0,900.0,2.0,0.0,190.0,11.0,1.0,4.73,4.82,4.68,4.86,4.84,4.69,4.81,0,4.0,9.0,1.59,0,True,False,0
223600.0,100.0,94.0,1,8.0,2.0,2.9999999999999996,3.0,253.0,2.0,1125.0,3.0,358.0,58.0,20.0,0.0,4.93,4.91,4.98,4.91,4.78,4.97,4.64,1,0.0,0.0,0.49,1,True,False,0
963495.0,100.0,94.0,1,4.0,2.0,2.0,2.0,318.0,3.0,1125.0,3.0,152.0,20.0,0.0,0.0,4.85,4.9,4.9,5.0,4.85,4.75,4.55,0,4.0,0.0,0.17,0,True,False,0
795997.0,100.0,100.0,1,4.0,1.0,1.0,3.0,68.00000000000001,2.0,1125.0,2.0,165.0,579.0,78.0,2.0,4.96,4.91,4.97,4.97,4.98,4.97,4.96,0,1.0,0.0,4.82,0,True,False,1
177062.0,100.0,96.0,1,7.0,1.0,1.0,1.0,144.0,1.0,29.0,2.0,290.0,324.0,45.0,1.0,4.9,4.95,4.88,4.96,4.96,4.92,4.87,0,0.0,0.0,3.08,1,True,False,1
798259.0,100.0,61.0,1,3.0,1.0,1.0,1.0,215.99999999999997,90.0,1124.0,90.0,2.0,14.0,0.0,0.0,4.86,5.0,4.86,4.93,4.93,5.0,4.57,0,0.0,0.0,0.12000000000000001,1,True,False,1
964808.0000000001,100.0,97.0,1,2.0,1.0,1.0,1.0,56.0,32.0,1125.0,32.0,72.0,161.0,0.0,0.0,4.75,4.86,4.81,4.9,4.91,4.81,4.81,0,1.0,0.0,1.3699999999999999,0,True,False,1
645327.0,100.0,88.0,1,4.0,1.0,2.0,2.0,143.0,1.0,25.0,2.0,124.0,24.0,8.0,0.0,4.96,4.71,4.92,5.0,4.96,4.96,4.88,0,2.0,0.0,0.93,0,True,False,1
617025.0,100.0,47.0,1,3.0,2.0,2.0,2.0,80.0,32.0,1125.0,32.0,364.0,17.0,1.0,0.0,4.65,4.59,4.59,5.0,4.88,4.53,4.41,0,0.0,0.0,0.14,1,True,False,0
379047.0,100.0,82.66666666666667,1,3.0,1.0,2.0,1.0,279.0,32.0,1111.0,32.0,90.0,45.0,0.0,0.0,4.67,4.6,4.51,4.76,4.84,4.86,4.5,0,0.0,0.0,0.38,0,True,False,1
502570.00000000006,88.0,47.0,1,2.0,1.0,0.0,1.0,73.0,3.0,365.0,3.0,183.00000000000003,252.0,21.0,0.0,4.82,4.9,4.8,4.96,4.91,4.88,4.79,0,0.0,0.0,2.16,1,True,False,0
300063.0,100.0,47.0,1,3.0,1.0,2.0,2.0,139.0,32.0,1125.0,32.0,179.0,46.0,3.0,0.0,4.8,4.83,4.87,4.91,4.98,4.5,4.59,0,0.0,0.0,0.39000000000000007,0,True,False,0
